"","city","lat","lng","pop","country","Country.Code","IncomeGroup","Region"
"55","Rreshen",41.7833,19.8167,10.064,"Albania","ALB","Upper middle income","Europe & Central Asia"
"56","Vlore",40.4774,19.4982,89.5085,"Albania","ALB","Upper middle income","Europe & Central Asia"
"57","Elbasan",41.1215,20.0838,132.9565,"Albania","ALB","Upper middle income","Europe & Central Asia"
"58","Durres",41.3178,19.4482,132.233,"Albania","ALB","Upper middle income","Europe & Central Asia"
"59","Shkoder",42.0685,19.5188,122.006,"Albania","ALB","Upper middle income","Europe & Central Asia"
"60","Tirana",41.3275,19.8189,658.318,"Albania","ALB","Upper middle income","Europe & Central Asia"
"61","Jijel",36.822,5.766,148,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"62","Tizi-Ouzou",36.8,4.0333,144,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"63","Bordj Bou Arreridj",36.059,4.63,134.5,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"64","M'sila",35.7,4.545,125,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"65","Guelma",36.466,7.428,123.59,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"66","Oum el Bouaghi",35.85,7.15,100.821,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"67","Timimoun",29.2365,0.27,26.568,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"68","Sidi bel Abbes",35.1903,-0.64,200.1865,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"69","Tlimcen",34.8904,-1.32,181.059,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"70","Beni Ounif",32.0493,-1.2514,5.628,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"71","Abadla",31.0171,-2.7333,14.364,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"72","Sefra",32.7604,-0.5799,51.118,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"73","Skikda",36.8804,6.9,193.9415,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"74","Djanet",24.5529,9.4823,0.666,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"75","I-n-Amenas",28.0503,9.55,0.216,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"76","In Amguel",23.6939,5.1647,3.03,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"77","El Bayadh",33.6904,1.01,67.413,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"78","El Oued",33.3704,6.86,177.497,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"79","Hassi Messaoud",31.7023,6.0545,18.124,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"80","Chlef",36.1704,1.32,449.167,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"81","Mascara",35.4004,0.14,108.23,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"82","Mostaganem",35.9404,0.09,159.177,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"83","Saida",34.8404,0.14,134.855,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"84","Tiarat",35.3804,1.32,184.195,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"85","Bejaia",36.7604,5.07,274.52,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"86","Blida",36.4203,2.83,388.174,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"87","Bouira",36.3805,3.9,110.144,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"88","Medea",36.2704,2.77,145.8635,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"89","Souk Ahras",36.2904,7.95,134.947,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"90","Tebessa",35.4104,8.12,171.742,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"91","Adrar",27.87,-0.29,56.91,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"92","Reggane",26.7,0.1666,22.3515,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"93","Bechar",31.6111,-2.23,142.4155,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"94","Tindouf",27.6742,-8.1478,18.27,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"95","Illizi",26.4834,8.4666,7.293,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"96","Arak",25.28,3.75,423.251,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"97","I-n-Salah",27.2166,2.4666,28.632,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"98","El Golea",30.5666,2.8833,32.049,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"99","Laghouat",33.81,2.88,108.279,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"100","Touggourt",33.1,6.06,91.499,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"101","Ouargla",31.97,5.34,176.271,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"102","Biskra",34.86,5.73,202.103,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"103","Djelfa",34.68,3.25,170.901,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"104","Setif",36.18,5.4,274.744,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"105","Batna",35.57,6.17,269.467,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"106","Annaba",36.92,7.76,355.047,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"107","Constantine",36.36,6.5999,527.638,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"108","Oran",35.71,-0.62,721.992,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"109","Tamanrasset",22.785,5.5228,71.808,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"110","Ghardaia",32.49,3.67,125.48,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"111","Algiers",36.7631,3.0506,2665.8315,"Algeria","DZA","Upper middle income","Middle East & North Africa"
"112","Pago Pago",-14.2766,-170.7066,12.038,"American Samoa","ASM","Upper middle income","East Asia & Pacific"
"113","Andorra",42.5,1.5165,38.127,"Andorra","AND","High income","Europe & Central Asia"
"114","Mucusso",-18.0195,21.43,0.1,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"115","Lucapa",-8.4196,20.74,25.578,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"116","Capenda-Camulemba",-9.4196,18.43,79.8425,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"117","Saurimo",-9.6596,20.39,40.907,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"118","Muconda",-10.5996,21.32,2.324,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"119","Cacolo",-10.1496,19.26,0.984,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"120","Caxito",-8.5795,13.66,15.6655,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"121","Camabatela",-8.1896,15.37,12.731,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"122","Ndalatando",-9.2995,14.91,8.144,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"123","Quibala",-10.7296,14.98,5.2485,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"124","Calulo",-9.9996,14.9,0.795,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"125","Waku Kungo",-11.3595,15.12,11.5195,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"126","Songo",-7.3496,14.85,10.579,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"127","Mbanza-Congo",-6.2696,14.24,42.201,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"128","Nzeto",-7.2296,12.86,19.7055,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"129","Soyo",-6.1296,12.37,65.329,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"130","Cabinda",-5.5596,12.19,78.9055,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"131","Calucinga",-11.3196,16.2,0.531,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"132","Camacupa",-12.0196,17.47,19.489,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"133","Cubal",-13.0396,14.24,4.837,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"134","Mavinga",-15.7895,20.36,30,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"135","Cuito Caunavale",-15.1596,19.17,0.149,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"136","Luiana",-17.3695,23,0.15,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"137","Ondjiva",-17.0696,15.73,8.748,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"138","Chitado",-17.3196,13.92,0.4685,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"139","Chibemba",-15.7496,14.08,1.502,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"140","Chibia",-15.1896,13.69,1.411,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"141","Quipungo",-14.8295,14.55,0.186,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"142","Luau",-10.7095,22.23,9.964,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"143","Cangamba",-13.6996,19.86,1.307,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"144","Lumbala Nguimbo",-14.0996,21.44,0.025,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"145","Cazombo",-11.8896,22.9,0.298,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"146","Dundo",-7.38,20.83,11.985,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"147","Ambriz",-7.855,13.125,17,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"148","Dondo",-9.69,14.43,2.353,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"149","Sumbe",-11.21,13.85,29.6385,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"150","Uige",-7.62,15.05,56.7875,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"151","Kuito",-12.38,16.94,113.955,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"152","Lobito",-12.37,13.5412,170.733,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"153","Xangongo",-16.74,14.97,0.447,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"154","Luena",-11.79,19.9,17.2765,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"155","Tômbua",-15.8,11.86,40,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"156","Malanje",-9.54,16.34,106.451,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"157","Benguela",-12.5783,13.4072,142.017,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"158","Lubango",-14.91,13.49,114.0865,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"159","Namibe",-15.19,12.16,128.1305,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"160","Menongue",-14.6666,17.7,13.03,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"161","Huambo",-12.75,15.76,986,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"162","Luanda",-8.8383,13.2344,3562.086,"Angola","AGO","Upper middle income","Sub-Saharan Africa"
"163","Artigas Base",-62.1739,-58.8639,0.0345,"Antarctica","ATA",NA,NA
"164","Capitan Arturo Prat Station",-62.4995,-59.6833,0.041,"Antarctica","ATA",NA,NA
"165","Marambio Station",-64.2329,-56.65,0.1025,"Antarctica","ATA",NA,NA
"166","Zucchelli Station",-74.6192,164.219,0.06,"Antarctica","ATA",NA,NA
"167","Rothera Station",-67.5648,-68.1235,0.076,"Antarctica","ATA",NA,NA
"168","Palmer Station",-64.7624,-64.0469,0.0305,"Antarctica","ATA",NA,NA
"169","Base Presidente Montalva",-62.1827,-58.9077,0.115,"Antarctica","ATA",NA,NA
"170","Carlini Station",-62.2241,-58.6505,0.04,"Antarctica","ATA",NA,NA
"171","King Sejong Station",-62.2249,-58.7716,0.0535,"Antarctica","ATA",NA,NA
"172","Great Wall Station",-62.2163,-58.9667,0.026,"Antarctica","ATA",NA,NA
"173","Escudero Base",-62.195,-58.9527,0.02,"Antarctica","ATA",NA,NA
"174","Elephant Island",-61.9996,-58,0.003,"Antarctica","ATA",NA,NA
"175","Scott Base",-77.8469,166.7491,0.0495,"Antarctica","ATA",NA,NA
"176","McMurdo Station",-77.7323,166.8694,0.6,"Antarctica","ATA",NA,NA
"177","Zhongshan Station",-69.4341,76.3393,0.0425,"Antarctica","ATA",NA,NA
"178","Vostok",-78.4663,106.8,0.019,"Antarctica","ATA",NA,NA
"179","Peter I Island",-68.8329,90.5,5e-04,"Antarctica","ATA",NA,NA
"180","Mirny Station",-66.5755,93.0063,0.1145,"Antarctica","ATA",NA,NA
"181","Mawson Station",-67.6145,62.875,0.04,"Antarctica","ATA",NA,NA
"182","Davis Station",-68.7777,78.1407,0.045,"Antarctica","ATA",NA,NA
"183","Concordia Research Station",-74.6663,124.167,0.015,"Antarctica","ATA",NA,NA
"184","Casey Station",-66.2861,110.5362,0.125,"Antarctica","ATA",NA,NA
"185","Amundsen–Scott South Pole Station",-89.9829,139.267,0.125,"Antarctica","ATA",NA,NA
"186","Wasa Station",-73.0496,-13.4167,0.005,"Antarctica","ATA",NA,NA
"187","Troll Station",-72.0163,2.5333,0.0255,"Antarctica","ATA",NA,NA
"188","Svea Station",-74.5829,-11.2167,0.005,"Antarctica","ATA",NA,NA
"189","Novolazarevskaya Station",-71.3012,-11.8502,0.035,"Antarctica","ATA",NA,NA
"190","Neumayer Station III",-70.8904,-7.8384,0.04,"Antarctica","ATA",NA,NA
"191","Maitri Station",-70.7822,11.7305,0.033,"Antarctica","ATA",NA,NA
"192","Halley Station",-76.0923,-26.4742,0.043,"Antarctica","ATA",NA,NA
"193","Belgrano Station",-77.8663,-34.6167,0.057,"Antarctica","ATA",NA,NA
"194","Camp Sobral",-81.1791,-40.5015,0.02,"Antarctica","ATA",NA,NA
"195","Aboa Station",-75.0496,-13.4167,0.015,"Antarctica","ATA",NA,NA
"196","San Martín Station",-68.1163,-67.1,0.019,"Antarctica","ATA",NA,NA
"197","Gen. O'Higgins Station",-63.3284,-57.8896,0.03,"Antarctica","ATA",NA,NA
"198","Esperanza Station",-63.3753,-57.0259,0.1525,"Antarctica","ATA",NA,NA
"199","Orcadas Station",-60.7329,-44.7333,0.0295,"Antarctica","ATA",NA,NA
"200","Signy Research Station",-60.6313,-45.6007,0.004,"Antarctica","ATA",NA,NA
"201","Dumont d'Urville Station",-66.7751,139.9637,0.075,"Antarctica","ATA",NA,NA
"202","Showa Station",-69.0304,39.7461,0.05,"Antarctica","ATA",NA,NA
"203","Saint John's",17.118,-61.85,29.8625,"Antigua and Barbuda","ATG","High income","Latin America & Caribbean"
"204","28 de Noviembre",-51.65,-72.3,5.3,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"205","Gobernador Gregores",-48.7666,-70.25,2.519,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"206","Comondante Luis Piedrabuena",-49.9745,-68.9035,0.41,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"207","Paso Rio Mayo",-45.6834,-70.2666,1.825,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"208","Alto Rio Sanguer",-45.0333,-70.8333,1.548,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"209","El Maiten",-42.05,-71.1666,4.269,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"210","Puerto Madryn",-42.77,-65.04,61.159,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"211","Trelew",-43.25,-65.33,93.1285,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"212","Las Heras",-32.825,-68.8017,66.663,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"213","San Martin",-33.07,-68.49,99.974,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"214","Uspallata",-32.5931,-69.346,2.39,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"215","Cutral Co",-38.94,-69.24,47.597,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"216","Punta Alta",-38.88,-62.08,55.9695,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"217","San Nicolas",-33.33,-60.24,117.1235,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"218","Campana",-34.16,-58.96,77.1495,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"219","Chacabuco",-34.65,-60.49,26.645,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"220","Mercedes",-34.66,-59.44,48.4085,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"221","Lincoln",-34.88,-61.5399,19.924,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"222","Chivilcoy",-34.9,-60.04,43.719,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"223","Veinticinco de Mayo",-35.43,-60.18,18.749,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"224","Nueve de Julio",-35.446,-60.89,26.716,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"225","Dolores",-36.33,-57.69,21.5865,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"226","Pedro Luro",-39.4833,-62.6833,7.1,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"227","Tres Arroyos",-38.37,-60.2699,34.7735,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"228","Coronel Suarez",-37.4666,-61.9166,20.713,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"229","Balcarce",-37.8333,-58.25,18.967,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"230","25 de Mayo",-37.8,-67.6833,17.43,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"231","General Roca",-39.02,-67.61,38.578,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"232","Comallo",-41.0333,-70.2666,0.741,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"233","Ingeniero Jacobacci",-41.3,-69.5833,5.719,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"234","General Conesa",-40.1,-64.4333,2.958,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"235","Choele Choel",-39.2666,-65.6833,9.8955,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"236","San Francisco",-31.43,-62.09,43.231,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"237","Alta Gracia",-31.66,-64.43,30.593,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"238","Villa Maria",-32.41,-63.26,76.701,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"239","Bell Ville",-32.6,-62.68,29.605,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"240","Villa Rumipal",-32.1833,-64.4833,1.269,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"241","Villa Carlos Paz",-31.42,-64.5,60.256,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"242","Chumbicha",-28.8666,-66.2333,2.572,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"243","Tinogasta",-28.0666,-67.5666,0.587,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"244","Abra Pampa",-22.7167,-65.7,4.48,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"245","Humahuaca",-23.2,-65.3499,11.369,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"246","Susques",-23.4167,-66.4833,1.093,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"247","Chepes",-31.35,-66.6,6.02,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"248","Yacuiba",-22.03,-63.7,64.811,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"249","Tartagal",-22.55,-63.81,59.9965,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"250","Joaquin V. Gonzalez",-25.0833,-64.1834,13.376,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"251","General Guemes",-24.6666,-65.05,19.828,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"252","Trancas",-26.2167,-65.2833,1.599,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"253","Presidencia Roque Saenz Pena",-26.79,-60.45,75.958,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"254","Pampa del Infierno",-26.5166,-61.1666,2.921,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"255","Villa Angela",-27.5833,-60.7167,30.051,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"256","Ingeniero Guillermo N. Juarez",-23.9,-61.85,6.453,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"257","Comandante Fontana",-25.3333,-59.6833,4.277,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"258","Doctor Pedro P. Pena",-22.48,-62.3,6.143,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"259","San Lorenzo",-28.12,-58.77,25.8335,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"260","Corrientes",-27.49,-58.81,339.945,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"261","Concepcion del Uruguay",-32.48,-58.24,48.275,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"262","Victoria",-32.61,-60.18,20.0325,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"263","Gualeguay",-33.15,-59.34,25.913,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"264","Parana",-31.7333,-60.5333,226.852,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"265","Villa Constitucion",-33.23,-60.35,30.2825,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"266","Rafaela",-31.25,-61.5,69.649,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"267","Eldorado",-26.2,-54.6,17.365,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"268","Rodeo",-30.2156,-69.14,0.701,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"269","Las Plumas",-43.4163,-67.25,0.605,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"270","Gastre",-42.283,-69.2333,0.557,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"271","Telsen",-42.3996,-66.95,0.493,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"272","Malargue",-35.4661,-69.5833,11.847,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"273","Tunuyan",-33.5662,-69.0167,22.834,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"274","La Paz",-33.4661,-67.55,4.4,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"275","Chos Malal",-37.383,-70.2666,8.556,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"276","Las Lajas",-38.5163,-70.3666,1.218,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"277","Zarate",-34.0896,-59.04,86.192,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
"278","Carhue",-37.1829,-62.7333,7.19,"Argentina","ARG","Upper middle income","Latin America & Caribbean"
